source, target
18|37.18.37.20,37|18.37.18.37
18|37.18.37.20,19|
18|36.32,37|18.36
36|23,16|36
36|23,26|36.23
36|23,18|36.23
18|36.30,37|18.36
18|36.30,13|18.36
23|18.37.33,26|23
18|37.32,37|18.37.32
18|37.32,24|18
18|37.32,0|18.37.32
18|37.32,36|18
18|36.33,37|18.36
36|33,18|36.33
18|37.29,5|
18|37.29,29|
18|37.29,9|18.37.29
18|37.29,37|18.37
18|37.29,21|18
18|37.29,24|18
18|37.29,36|18.37.29
5|14,3|5
24|18.14,37|24
24|6,34|24
33|21,18|33
33|21,36|33
33|21,24|33
33|21,37|33
23|26.16,37|23
18|37.17,36|18
18|37.17,37|18.37
37|12,18|37.12
18|37.8,37|18.37
18|37.8,36|18
18|37.8,24|18
17|31,32|
21|18,33|21.18
21|18,37|
21|18,18|21
21|18,4|21
21|18,36|21
21|36.4,33|21
21|36.4,36|21.36.4
18|37.18.37.26,29|
18|37.18.37.26,37|18.37.18.37
12|24,27|12.24
12|24,36|12
18|37.4,36|18
18|37.4,37|18.37
37|30,18|37.30
36|15,25|
36|15,7|36
36|15,18|36
18|10.2.18,24|18
37|18.37,18|37.18.37
18|36.11,37|18.36
11|,20|
11|,18|11
11|,0|11
11|,36|11
11|,24|
11|,37|11
18|24.18.37.18.37,30|18
18|24.18.37.18.37,37|18
36|6.24,34|36
28|36,36|28
28|36,37|28
18|36.20,37|18.36
36|21.24,4|36.21
11|0.18.36,20|
24|18.2,37|24
11|18.37.18,0|11
8|13.18.36,37|8
37|28,18|37.28
36|20,18|36.20
36|9,22|36.9
36|9,18|36.9
30|8.13.24,37|30
7|,36|7
7|,18|7
7|,15|
7|,37|7
7|,25|7
7|,24|7
18|37.18.37.34,4|18.37.18.37.34
18|37.18.37.34,37|18.37.18.37.34
18|37.18.37.34,24|18.37.18.37
18|37.18.37.34,36|18.37.18
18|37.18.37.19,37|18.37.18.37
18|37.18.37.19,36|18.37.18
18|37.18.37.19,19|
28|,37|28
28|,27|28
28|,36|28
28|,12|28
28|,18|28
28|,24|28
11|0.24,36|11
11|0.24,20|11.0.24
21|,26|
21|,33|21
21|,37|
21|,4|21
21|,18|21
21|,24|
21|,23|
21|,36|21
18|19,36|18
18|19,37|18
18|19,24|18
2|,36|2
2|,5|
2|,10|2
2|,37|2
2|,18|2
2|,24|2
28|27.12.24,37|28.27
26|23.24,16|26.23.24
18|37.18.36,36|18.37.18
18|37.18.36,4|18
18|37.18.36,24|18.37.18
18|37.18.36,30|18
18|37.18.36,23|18.37.18
18|37.18.36,29|
18|37.18.36,2|18.37
18|37.18.36,3|18
18|37.18.36,13|18.37
18|37.18.36,37|18.37
18|37.18.36,17|18
18|37.18.36,14|
18|37.18.36,10|18
18|37.18.36,21|18
18|37.18.36,19|
18|37.18.36,22|18
18|37.18.36,12|18.37
18|37.18.36,9|
18|37.18.36,5|18.37.18.36
18|37.18.36,6|18
18|37.18.36,0|
37|20,18|37.20
24|30,37|24
24|30,36|24
24|30,18|
37|18.37.18.37.30,18|37.18.37.18.37.30
18|37.22,37|18.37.22
18|37.22,36|18
23|16,18|23
23|16,37|23
18|37.9,36|18
18|37.9,37|18.37
18|8,37|18
22|24,9|22
18|36.29,36|18
18|36.29,37|18.36
18|36.29,29|
18|36.29,24|18.36
36|31.17,32|36
5|36.18,37|5
18|36.4,37|18.36
18|36.4,36|18
20|11.0.24,37|20
8|36,37|8
17|36,37|17
17|36,32|
17|36,31|17
18|37.15,37|18.37
18|37.15,19|
36|24,0|36
36|24,2|36.24
36|24,6|36
36|24,13|36
36|24,18|36.24
37|15,18|37.15
34|18.37,36|34
34|18.37,37|34
34|18.37,6|34
18|14,5|18.14
18|14,36|18
18|14,37|18.14
18|14,34|
18|14,6|18.14
18|14,24|18.14
18|14,3|18.14
32|36,37|32
32|36,36|32
36|11,18|36.11
36|11,20|36.11
34|24.18,6|34
36|5.18.14,3|36
18|37.2,37|18.37.2
18|37.2,36|18
18|37.2,14|
18|37.2,24|18
6|34,37|
6|34,36|6.34
18|7,37|18
22|,9|22
22|,36|22
22|,18|22
22|,24|22
22|,37|22
36|17,31|36.17
36|17,18|36
34|24,37|34
34|24,6|34
15|18.36,25|15
18|34,37|18
37|31,18|37.31
18|37.18.37.18.37,24|18.37.18.37
18|37.18.37.18.37,23|18.37.18
18|37.18.37.18.37,17|18
18|37.18.37.18.37,11|18.37.18
18|37.18.37.18.37,37|18.37.18.37
18|37.18.37.18.37,6|18
18|37.18.37.18.37,27|18.37
18|37.18.37.18.37,36|18.37.18
18|37.18.37.18.37,3|18.37.18.37
18|37.18.37.18.37,2|18.37.18.37.18.37
18|37.18.37.18.37,22|18.37.18.37
18|37.18.37.18.37,0|
18|37.18.37.18.37,4|18
18|37.18.37.18.37,5|18.37.18.37.18.37
18|37.18.37.18.37,34|18.37
18|37.18.37.18.37,29|
18|37.18.37.18.37,28|18.37.18
18|37.18.37.18.37,15|
18|37.18.37.18.37,16|18
18|37.18.37.18.37,14|
18|37.18.37.18.37,10|18
18|37.18.37.18.37,21|18
18|37.18.37.18.37,13|18.37
18|37.18.37.18.37,19|
18|37.18.37.18.37,31|18
18|37.18.37.18.37,12|18.37
18|37.18.37.18.37,9|
18|37.18.37.18.37,7|18
18|37.18.37.18.37,26|18
18|37.18.37.18.37,20|18.37
18|37.18.37.18.37,30|18
3|36,37|3
3|36,36|3
21|33,37|
21|33,36|21
4|18.37.18.37.34,21|4
18|37.20,37|18.37.20
18|37.20,19|
18|37.20,15|
18|37.20,24|18
18|37.20,36|18
18|2,24|18.2
18|2,36|18
18|2,37|18
18|2,10|18
34|6.36,37|34
18|36.10,37|18.36
18|36.10,36|18
18|37.27,37|18.37
36|5,18|36.5
36|5,3|36
25|,18|
25|,37|25
25|,15|25
25|,7|
25|,36|
18|12,27|
36|25.15,7|36
18|37.18.37.33,24|18.37.18.37
18|37.18.37.33,23|18.37.18
18|37.18.37.33,37|18.37.18.37
4|18.36,37|4
4|18.36,21|4
18|36.22,37|18.36
2|18,36|2
2|18,24|2
2|18,37|2
2|18,18|2
2|18,10|2.18
24|2,37|24
5|18.36.18,37|5
18|37.18.37.22,13|18.37
18|37.18.37.22,36|18.37.18
18|37.18.37.22,37|18.37.18.37
5|18.37.18.36,3|5
32|31.18,37|32
10|36.2,37|10
26|16,36|26
26|16,23|26.16
26|16,37|26
26|16,18|26
9|18.36,22|9.18.36
9|18.36,36|9
9|18.36,37|9
32|17.18,31|32
4|21,33|4.21
2|18.36.18.37.18,37|2
22|36.9,37|22
36|21.4,33|36.21
34|18.6,37|34
31|18.36,37|31
26|36,36|26
26|36,37|26
26|36,16|26.36
18|26,37|18
16|24,26|16
14|18.37.24,18|14
14|24,18|14
18|2.18.37,24|18.2
37|18.37.26,18|37.18.37.26
9|22,18|9
9|22,36|9.22
9|22,37|9
37|19,18|37.19
10|2.18,36|10
10|2.18,24|10
10|2.18,37|10
10|2.18,18|10.2.18
18|37.18.14,37|18.37
6|18.36,34|
6|18.36,36|6.18
37|18.37.18.37.34,18|37.18.37.18.37.34
37|18.37.30,18|37.18.37.30
37|18.37.24,18|37.18.37.24
36|31,17|36
36|31,32|36
36|31,18|36
8|13.18.30,37|8
6|18,34|
6|18,37|
6|18,36|6.18
6|18,18|6
6|18,24|6
36|19,9|36
36|19,18|36.19
27|36,28|27.36
27|36,36|27
27|36,37|27
23|18,26|23
23|18,18|23
23|18,16|23.18
23|18,36|23
23|18,24|
23|18,37|23
3|,37|3
3|,24|3
3|,5|
3|,18|
3|,36|3
3|,14|
36|22,18|36.22
18|36.14,37|18.36
18|36.14,5|
18|36.14,36|18
0|11,37|0
18|36.8,37|18.36
32|,36|32
32|,37|32
32|,17|
32|,31|32
32|,18|32
32|,24|32
18|37.19,5|
18|37.19,37|18.37.19
18|37.19,29|
18|37.19,36|18.37.19
18|37.19,24|18
18|37.19,19|
16|26.23.24,37|16
15|,25|15
15|,7|15
15|,37|15
15|,36|15
18|37.26,37|18.37.26
18|37.26,36|18
18|37.26,29|
18|36.16,37|18.36.16
18|37,36|18
18|37,25|18.37
18|37,32|18
18|37,3|18
18|37,17|18
18|37,4|18
18|37,6|18
18|37,33|18
18|37,27|18.37
18|37,11|
18|37,28|
18|37,22|18
18|37,16|18
18|37,0|
18|37,5|
18|37,30|18
18|37,34|18.37
18|37,29|
18|37,2|18.37
18|37,15|
18|37,37|18.37
18|37,8|18
18|37,14|
18|37,10|18
18|37,21|18
18|37,13|18.37
18|37,19|
18|37,31|18
18|37,12|18.37
18|37,9|
18|37,7|18
18|37,26|18
18|37,23|18
18|37,20|18.37
18|37,24|18
33|4.21,37|33
24|34,36|24
24|34,37|24
24|18.36,36|24
24|18.36,37|24
24|18.36,18|
24|18.36,9|24
26|24.18,16|26.24.18
34|36,36|34
34|36,37|34
24|7,37|24
30|8,24|30
30|8,37|30
30|8,18|30.8
30|8,36|30.8
18|21,33|18
18|21,37|18
37|4,18|37.4
37|24.22,18|37.24.22
37|18.36,18|37.18.36
37|18.37.20,18|37.18.37.20
36|14,18|36.14
33|4.36,37|33
10|18.36.18,37|10
10|18.36.18,2|10.18
24|22,18|24.22
24|22,36|24
24|22,37|24.22
11|0.18.37.32,20|
36|26,16|36
36|26,23|36
36|26,18|36.26
9|18.37.29,22|9
12|36,27|12
13|8,37|13
37|18.37.7,18|37.18.37.7
8|,30|8
8|,13|8
8|,37|8
8|,18|8
8|,36|8
18|37.18.37.16,37|18.37.18.37.16
18|37.18.37.16,36|18.37.18
18|37.18.37.16,29|
20|36.11,37|20
18|30,24|18
18|30,36|18
18|30,37|18
18|30,13|18.30
37|25,18|37.25
33|4.18,21|33
33|4.18,37|33
26|,36|26
26|,37|26
26|,18|26
26|,24|
26|,23|
26|,16|26
12|18,18|12
12|18,36|12
12|18,37|12
12|18,28|12.18
12|18,24|
12|18,27|12
36|32,18|36.32
15|36,25|15
15|36,36|15
36|13,8|36
36|13,18|36
17|24,36|17
17|24,31|17.24
36|0,11|36
36|0,18|36
6|14,34|
23|,18|23
23|,26|23
23|,36|23
23|,37|23
23|,24|
23|,16|23
26|24,16|26.24
28|27,37|28.27
28|27,36|28
28|27,24|28
28|27,18|28
18|36.34,37|18.36
24|10,37|24
24|10,36|24
24|10,18|
36|4.36.21,33|36.4
18|37.18.37.7,37|18.37.18.37
18|37.18.37.7,19|
36|4,33|36.4
36|4,21|36.4
36|4,18|36.4
37|24,18|37.24
12|18.37,27|12.18.37
12|18.37,36|12
12|18.37,18|12
12|18.37,37|12
12|18.37,24|
36|27.12,28|36
10|24,36|10
10|24,37|10
10|24,2|
28|27.36,37|28.27
27|,28|27
27|,18|
27|,24|
27|,36|27
27|,37|27
27|,12|27
37|18.37.19,18|37.18.37.19
18|37.28.27,17|18
18|37.28.27,37|18.37.28.27
18|37.28.27,36|18
24|18.37.18.37,26|24.18
24|18.37.18.37,18|24.18.37.18.37
24|18.37.18.37,34|24.18
24|18.37.18.37,6|24.18.37.18
24|18.37.18.37,2|24
24|18.37.18.37,0|24
24|18.37.18.37,13|24
24|18.37.18.37,30|24
24|18.37.18.37,4|24
24|18.37.18.37,14|24
24|18.37.18.37,22|24
24|18.37.18.37,17|24
24|18.37.18.37,36|24
24|18.37.18.37,37|24
24|18.37.18.37,21|24
24|18.37.18.37,15|24
24|18.37.18.37,23|24
24|18.37.18.37,10|24
24|18.37.18.37,19|24
24|18.37.18.37,16|24
24|18.37.18.37,9|24
24|18.37.18.37,12|24
10|,36|10
10|,18|
10|,21|
10|,37|10
10|,2|
10|,5|10
10|,24|10
3|18.14,37|3
3|18.14,24|3
18|37.33,23|18.37.33
18|37.33,24|18
18|37.33,36|18
18|37.33,37|18.37.33
18|37.33,29|
25|7,15|25
8|13.30,37|8
8|13.30,18|8
8|13.30,36|8
25|15,37|25
25|15,36|25.15
25|15,7|
18|37.18.37.18.37.32,0|
18|37.18.37.18.37.32,37|18.37.18.37
36|18,3|36
36|18,23|36
36|18,17|36
36|18,6|36
36|18,20|
36|18,15|36
36|18,5|36.18
36|18,9|36.18
36|18,24|36
36|18,34|36
36|18,19|
36|18,13|36
36|18,18|36.18
36|18,12|36
36|18,0|36
36|18,2|36
36|18,29|36.18
36|18,4|36
36|18,22|
36|18,21|
36|18,26|36.18
36|18,10|
8|13.18.37,30|8
8|13.18.37,37|8
8|13.18.37,36|8
32|31.17.24,37|32
37|0,18|37.0
18|11,37|18
0|20,11|
16|26.24.18,23|16
26|23,16|26
9|36.18,22|9.36
18|36.5,37|18.36
18|36.5,36|18
18|36.24,36|18
18|36.24,37|18.36
18|36.24,24|18.36
18|36.24,2|18
37|17,18|37.17
24|10.18,37|24
6|24.18.37.18,34|
27|18.37,12|27
5|18.37.18.37.18.37,3|5
18|37.5,37|18.37
18|37.5,36|18
18|37.5,14|
18|37.5,24|18
18|32,37|18.32
0|18.37.32,11|0.18.37.32
18|37.18.37.31,0|
18|37.18.37.31,37|18.37.18.37
37|18.37.18.37,18|37.18.37.18.37
18|37.10,37|18.37
18|37.10,24|18
18|37.10,36|18
18|37.10,2|18.37
36|29,21|
36|29,5|
36|29,10|
36|29,18|36.29
16|26.18,23|16
16|26.18,37|16
18|37.18.37.23,29|
