source,target,value
12|37.12.37.12.0.12.36,17|12.37,1
36|9.12.36.29,20|36.9,1
0|12.37.13,18|0,1
12|37.32.37,36|12.37.32.37,1
12|37.32.37,17|12.37,1
12|37.32.37,37|12.37.32,1
34|25.12.37.25.12,36|34.25,1
34|25.12.37.25.12,5|34,1
12|36.9.37,37|12.36.9.37,1
19|36,37|19,23
19|36,21|19,1
19|36,12|19,6
19|36,36|19,6
19|36,29|19,2
19|36,13|19,2
19|36,6|19,4
19|36,25|19,3
19|36,20|19.36,8
36|15.19,12|36.15.19,1
19|0.15,36|19.0.15,1
19|0.15,37|19.0,1
36|12.20.12.37,9|36,1
12|37.29.1.15,37|12.37.29.1.15,1
36|3.32,30|36.3,1
37|24,12|37.24,3
37|24,16|37,1
37|24,27|,3
37|24,3|37.24,1
37|20.19,12|37.20.19,1
28|12.37.22,20|28,1
28|12.37.22,36|28,1
28|22.36.8,36|28.22.36.8,1
28|12.8,12|28.12.8,1
22|32,24|22,1
22|32,16|22,1
22|32,28|22.32,1
22|32,37|22.32,1
22|32,34|22,1
8|12.37.12.0,27|8,1
36|0.37,21|36.0,1
36|0.37,15|36.0,1
36|0.37,12|36.0.37,1
37|12.37.30.25,12|37.12.37.30.25,1
3|37.24,27|3,2
3|37.24,12|3.37,1
12|37.16.4,37|12.37.16.4,1
1|29.21,19|1,1
25|12.37.22,26|25.12,1
25|12.37.22,2|25,1
12|37.12.17.37,8|12,1
19|13,15|19,1
19|13,6|19.13,1
19|13,37|19.13,1
11|12.36.1,9|11,1
19|37.12,18|19.37,1
36|9.12.37.9,29|36.9,1
36|9.12.37.9,18|36.9,3
36|9.12.37.9,12|36.9.12.37.9,4
36|9.12.37.9,17|36.9,1
18|30,7|18.30,1
12|7.31,25|12.7.31,1
12|7.31,37|12.7,1
10|36.8.25,36|10,1
22|12.34,28|22.12.34,16
22|12.34,12|22,1
36|7.12,25|36.7,4
36|7.12,15|36,1
36|7.12,12|36.7.12,5
12|37.18,17|12.37,1
12|37.18,36|12.37.18,14
12|37.18,6|12.37.18,1
12|37.18,2|12,1
12|37.18,11|12,1
12|37.18,18|12.37.18,2
12|37.18,16|12,1
12|37.18,28|12.37.18,1
12|37.18,37|12.37.18,1
12|37.18,9|12.37.18,1
12|37.18,15|12.37.18,1
12|37.18,0|12.37,1
12|37.18,31|,11
12|37.18,10|12.37.18,1
12|37.18,24|12.37,1
12|37.18,25|12.37.18,1
12|37.18,20|12.37,1
12|37.18,29|12.37.18,2
12|37.18,13|12.37.18,1
12|37.18,32|12,2
12|37.18,1|12.37,3
12|37.18,7|12.37,6
12|37.18,8|12.37.18,1
19|0.9,15|19,1
2|26.36,36|2.26,1
12|37.8.12.37.12.33,24|12.37,1
36|25.12.37.27,10|36,2
36|25.12.37.27,12|36.25.12,1
37|20.12.36,12|37.20.12.36,5
12|25.12.37.1,15|12,2
12|25.12.37.1,31|12.25,1
0|12.36.29,25|0,1
0|12.36.29,37|0,2
37|16.32,12|37.16.32,1
8|12.37.22,9|8,1
37|12.37.12.16,12|37.12.37.12.16,8
37|4.30.10.12.36,12|37.4.30.10.12.36,1
12|29.1,1|12,1
12|29.1,36|12.29,2
12|29.1,31|12.29,2
12|29.1,25|12.29,1
12|29.1,37|12.29,3
12|29.1,29|12,2
26|2.36,33|26.2.36,1
26|2.36,25|26.2,1
26|2.36,12|26.2,2
26|2.36,37|26,1
26|2.36,36|26,1
26|2.36,29|26,1
36|12.32,17|36.12,1
36|12.32,12|36.12.32,1
36|12.32,15|36.12.32,1
36|11.25.12.37,13|36.11,3
36|11.25.12.37,12|36.11,1
36|11.25.12.37,10|36.11,1
12|37.12.37.12.37.19,37|12.37.12.37.12.37.19,33
12|37.12.37.12.37.19,9|12.37.12,15
12|37.12.37.12.37.19,25|12.37,3
12|37.12.37.12.37.19,32|12,3
12|37.12.37.12.37.19,36|12.37.12,2
12|37.12.37.12.37.19,20|12.37,1
9|12.36.9,12|9.12.36,4
9|12.36.9,36|9.12.36.9,2
9|12.36.9,18|9,1
9|12.36.9,37|9,5
36|12.36,9|36,1
36|12.36,10|36.12,2
36|12.36,24|36.12,2
36|12.36,19|36,5
36|12.36,1|36,3
36|12.36,26|36.12,4
36|12.36,23|,2
36|12.36,31|36,1
36|12.36,20|36.12,3
36|12.36,11|36.12,2
36|12.36,2|36,2
36|12.36,21|36.12,1
36|12.36,15|36.12,4
36|12.36,8|36.12,2
36|12.36,17|36.12,4
36|12.36,32|36.12.36,1
36|12.36,7|36.12,1
36|12.36,4|36.12,1
36|12.36,18|36,3
36|12.36,13|36,5
36|12.36,28|36.12,1
36|12.36,25|36.12.36,1
36|12.36,29|36.12.36,1
36|12.36,3|36.12.36,1
36|12.36,12|36.12.36,2
36|12.36,27|,1
11|36.16,12|11.36.16,1
36|18.12.8,3|36.18,1
24|27.25,3|24,2
24|27.25,37|24,1
12|37.12.25.12.11,36|12.37.12.25.12.11,1
12|37.12.25.12.11,37|12.37.12,2
36|25.12.37.12.29,15|36.25,1
36|19.20,12|36.19.20,3
36|19.20,6|36,2
19|25,36|19.25,4
19|25,21|19,1
19|25,6|19.25,1
19|25,20|19,24
19|25,12|19.25,1
19|25,9|19,1
19|25,37|19.25,3
36|12.22,12|36.12.22,1
19|25.12.37.12.36,36|19.25,1
19|25.12.37.12.36,20|19.25.12.37.12.36,1
12|13.20,19|12,1
2|36.33,36|2,1
2|36.33,26|2.36.33,1
32|17.12.37.8,27|32,1
37|12.37.18,3|37.12,1
37|12.37.18,12|37.12.37.18,1
37|12.37.18,19|37.12,1
26|22,33|26.22,1
26|22,28|26,1
26|22,2|26.22,1
16|4,37|16.4,1
16|4,10|16,1
7|18.12.36,37|7,1
7|18.12.36,32|7,2
7|18.12.36,12|7,1
7|18.12.36,36|7,3
7|18.12.36,25|7,1
3|24,27|3.24,1
3|24,37|3,11
3|24,25|3.24,1
3|24,36|3.24,1
3|24,12|3.24,1
12|37.12.37.34.12.25.12,25|12.37.12.37.34,1
12|37.12.37.34.12.25.12,28|12.37,1
12|37.8.12.16,36|12.37.8.12.16,1
12|37.8.12.16,8|12.37.8,4
12|37.8.12.16,37|12.37.8,2
37|12.37.1.0,12|37.12.37.1.0,1
12|31.12.36.12.25,15|12,1
12|31.12.36.12.25,37|12.31,1
20|12.37.12.37.12.0,9|20,1
33|12.37.12,12|33.12,6
33|12.37.12,25|33,3
33|12.37.12,37|33,11
33|12.37.12,2|33,8
33|12.37.12,26|33,8
33|12.37.12,36|33.12.37.12,3
32|8,12|32.8,1
32|8,19|32,1
32|8,36|32.8,1
32|8,20|32,1
32|8,34|32,1
32|8,17|32,1
32|8,37|32.8,5
32|8,3|32,1
36|6.20.19.36,32|36.6,2
36|6.20.19.36,17|36,1
12|36.12.37.12.37.7,11|12.36,1
12|36.12.37.12.37.7,37|12.36.12.37.12.37.7,3
37|21.0,12|37.21.0,1
37|21.0,0|37,1
37|21.0,15|37,1
0|12.36.12.6,20|0,1
17|32.6,22|17,1
21|11,36|21.11,1
12|36.12.36.33.12,2|12.36,1
12|36.19.20,6|12.36,1
