source,target,value
12|37.15,37|12.37,33
37|25.12,12|37.25.12,10
11|36,37|11,11
12|36.27,37|12.36,19
12|37.21,19|12.37.21,14
12|37.21,36|12,12
12|37.21,37|12.37.21,158
12|37.21,25|12.37,16
12|37.21,9|,10
20|6.12.37,19|20.6,8
12|37.12.36.6,37|12.37.12,11
12|37.12.36.6,9|,8
36|10,30|,8
20|6,12|20,13
20|6,37|20,44
20|6,19|20.6,18
20|6,36|20,9
12|37.12.37.1,15|12.37.12.37.1,17
12|37.12.37.1,36|12,10
12|37.12.37.1,25|12.37.12.37.1,9
12|37.12.37.1,37|12.37.12.37,98
36|27,12|36.27,19
11|12,12|11,36
11|12,13|11.12,21
11|12,37|11,53
11|12,18|11,24
11|12,36|11,26
11|12,25|11,31
12|37.29,37|12.37,68
12|37.29,36|12,11
12|37.29,1|12.37,8
12|37.29,25|12.37,10
28|,22|28,8
28|,25|,8
28|,37|28,146
28|,34|28,18
28|,36|28,34
28|,12|28,33
26|2.33,37|26,9
8|,37|8,666
8|,25|8,8
8|,9|8,9
8|,36|8,129
8|,12|8,12
8|,32|,13
8|,23|8,9
31|12.37.25,12|31.12.37.25,9
12|36.34,37|12.36,22
12|36.12.37.12.37.12.37,37|12.36,357
12|36.12.37.12.37.12.37,19|12.36.12,8
12|36.12.37.12.37.12.37,20|12.36,8
12|36.12.37.12.37.12.37,3|12.36,9
12|36.12.37.12.37.12.37,29|12.36,13
12|36.12.37.12.37.12.37,31|12.36,10
12|36.12.37.12.37.12.37,32|,15
12|36.12.37.12.37.12.37,25|12.36,41
12|36.12.37.12.37.12.37,8|12.36.12.37.12.37.12.37,8
12|36.12.37.12.37.12.37,36|12.36,65
12|36.12.37.12.37.12.37,2|12,12
12|36.12.37.12.37.12.37,9|,20
36|33,12|36.33,27
9|,8|,13
9|,11|9,10
9|,15|,8
9|,20|,17
9|,18|,17
9|,25|,20
9|,36|9,8
9|,19|9,21
9|,37|9,605
9|,0|,16
9|,13|,8
9|,12|9,19
12|37.12.37.12.37.28,25|12.37.12.37,10
12|37.12.37.12.37.28,37|12.37.12.37.12.37.28,30
12|37.12.37.12.37.28,2|12,9
30|4,10|30,10
30|4,37|30,9
37|12.37.12.37.6,12|37.12.37.12.37.6,46
12|37.12.37.12.16,37|12.37.12.37.12,8
12|37.12.37.12.16,8|,8
12|2,26|12.2,9
24|12,36|24.12,8
24|12,27|24.12,13
24|12,37|24,43
24|12,3|24.12,13
24|12,12|,9
24|12,25|24,8
36|,13|36,20
36|,10|36,24
36|,4|36,9
36|,9|36,18
36|,1|36,14
36|,20|36,15
36|,26|36,13
36|,29|36,16
36|,21|36,16
36|,23|36,12
36|,32|36,18
36|,33|36,8
36|,3|36,9
36|,27|36,18
36|,17|36,9
36|,15|36,11
36|,5|,9
36|,12|36,17
36|,11|36,11
36|,2|36,16
36|,0|36,11
36|,30|,21
36|,7|36,8
36|,31|,14
36|,24|36,8
36|,25|36,11
36|,28|,12
36|,8|,26
36|,22|36,10
36|,6|36,12
36|,18|,47
36|,16|36,10
36|,34|,16
36|,19|36,8
25|18,37|25.18,30
25|18,36|25,13
21|0.36,37|21,9
12|37.24,3|12.37.24,9
12|37.24,10|,8
12|37.24,37|12.37.24,56
12|37.24,25|12.37,9
32|17,37|32,65
32|17,12|32,18
32|17,36|32,13
32|17,25|,9
12|10,37|12,14
12|34.28,37|12,21
12|37.12.37.8,8|,51
12|37.12.37.8,37|12.37.12.37,236
12|37.12.37.8,36|12,30
34|28.22.25,37|34.28,16
37|25.17,12|37.25.17,37
25|12.13,37|25.12,12
13|12.37.12.37.12.37,11|13,25
12|36.19,37|12.36,24
24|,37|24,107
24|,27|,243
24|,3|,31
24|,12|,20
24|,36|,55
24|,25|24,9
37|12.37.12.37.34.28,12|37.12.37.12.37.34.28,11
26|2.25,33|26.2.25,36
37|12.37.34,12|37.12.37.34,8
11|12.13,37|11,8
36|12,20|36,12
36|12,13|36,17
36|12,19|36,19
36|12,10|36,17
36|12,9|36,17
36|12,2|36,10
36|12,0|36,12
36|12,7|36,9
36|12,32|36,19
36|12,1|36,11
36|12,17|36,10
36|12,18|36.12,8
36|12,25|36,26
36|12,8|,12
36|12,11|36,9
