student_assignment_grade,struc0,struc1,struc10,struc11,struc12,struc13,struc2,struc3,struc4,struc5,struc6,struc7,struc8,struc9
student25_Prompt2_1.0,0,0,0,1,0,0,0,0,3,0,0,1,0,0
student25_Prompt6_1.0,0,0,0,1,0,0,0,0,3,0,0,1,0,0
student25_Prompt10_1.0,1,1,2,5,1,0,0,0,11,0,0,6,1,0
student26_Capstone_1.0,4,2,5,7,4,0,3,1,9,1,2,6,2,2
student26_Prompt7_1.0,1,1,0,2,1,0,0,0,4,1,0,3,0,0
student26_Prompt2_1.0,0,0,0,1,0,0,0,0,3,0,0,1,0,0
student26_Prompt5_1.0,1,2,1,1,0,0,0,0,5,0,1,3,0,0
student26_Prompt9_1.0,0,1,1,2,0,0,0,0,5,0,0,4,0,1
student26_Prompt3_1.0,0,0,0,1,0,0,0,0,4,0,0,3,0,0
student26_Prompt11_1.0,1,1,0,0,0,0,0,0,4,0,1,2,0,2
student26_Prompt8_1.0,0,0,0,2,1,0,0,1,7,1,0,4,1,1
student26_Prompt4_1.0,0,1,0,0,0,0,0,2,4,0,2,3,1,0
student26_Prompt6_1.0,1,0,1,1,0,0,0,0,3,0,0,2,0,0
student26_Integration3_1.0,0,2,1,7,0,1,2,0,17,2,3,13,1,1
student27_Capstone_1.0,1,2,3,3,1,1,0,1,9,1,1,6,0,2
student27_Prompt7_1.0,1,1,0,2,0,0,0,0,5,0,0,2,0,0
student27_Prompt2_1.0,0,0,0,1,0,0,0,0,3,0,0,1,0,0
student27_Prompt5_1.0,0,1,1,2,0,0,0,0,9,0,0,2,0,0
student27_Prompt9_1.0,0,2,2,1,1,0,0,0,7,0,0,3,0,0
student27_Prompt3_1.0,0,0,0,0,0,1,0,0,4,0,0,2,0,0
student27_Prompt4_1.0,1,1,1,1,1,0,1,2,11,0,1,3,1,0
student27_Prompt6_1.0,1,0,0,2,0,0,0,0,4,0,0,2,0,0
student27_Integration3_1.0,1,1,4,7,0,1,0,3,13,2,1,8,0,2
student27_Prompt10_1.0,1,0,1,4,1,0,0,0,6,0,0,4,1,2
student28_Capstone_1.0,6,0,1,3,0,0,0,0,13,0,3,5,1,2
student28_Prompt7_1.0,4,1,0,4,0,0,1,0,13,1,0,8,0,0
student28_Prompt2_1.0,1,1,1,2,0,0,1,2,3,0,0,0,0,0
student28_Prompt5_1.0,1,1,1,1,0,0,0,1,8,0,0,2,1,0
student28_Prompt9_1.0,0,1,0,5,0,0,0,0,9,0,0,6,0,0
student28_Prompt3_1.0,0,0,0,1,0,0,0,0,3,0,0,1,0,0
student28_Prompt11_1.0,0,0,0,1,0,0,0,0,3,0,0,1,0,0
student28_Prompt4_1.0,0,0,0,3,0,2,1,0,7,1,0,5,0,0
student28_Prompt10_1.0,1,0,1,3,1,0,0,0,5,0,0,3,1,0
student28_Integration3_1.0,2,2,4,12,0,0,5,4,27,3,0,11,3,2
student29_Capstone_0.9,2,0,1,1,0,0,0,0,5,0,0,2,0,1
student29_Prompt7_1.0,3,1,0,3,0,0,0,0,8,0,0,4,0,0
student29_Prompt6_1.0,0,2,2,3,1,0,0,0,8,0,0,2,0,0
student29_Prompt3_1.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
student29_Prompt9_1.0,0,1,1,2,0,0,0,0,6,0,0,3,0,0
student30_Capstone_1.0,4,0,0,1,0,0,0,0,7,0,0,2,0,1
student30_Prompt7_1.0,1,1,0,2,0,0,0,0,5,0,0,2,0,0
student30_Prompt5_1.0,0,1,0,0,0,0,0,1,5,0,3,2,1,0
student30_Prompt8_1.0,0,0,0,2,1,0,0,1,3,1,0,1,0,1
student30_Prompt3_1.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
student30_Prompt11_1.0,0,0,1,3,1,0,1,0,5,0,0,1,1,0
student30_Prompt6_1.0,1,2,4,4,0,0,1,1,13,1,0,6,0,2
student30_Integration3_1.0,1,0,0,5,0,1,1,3,10,1,0,5,1,0
