source,target,value
18|40.18.8,22|18,0.0480349345
18|40.18.8,0|18.40,0.2620087336
18|40.18.8,100|,0.2008733624
18|40.18.8,1|18,0.1266375546
18|40.18.8,14|18.40,0.1397379913
29|20.14,100|,0.1694915254
29|20.14,21|29,0.8305084746
40|18.1.18,18|40.18.1.18,1
37|28,28|37,1
36|31,31|36,1
18|40.18.22,0|18.40,0.6923076923
18|40.18.22,14|18.40,0.3076923077
40|18.7,18|40.18.7,0.625
31|17.36,100|,1
18|40.18.11,14|18.40,0.0199335548
18|40.18.11,8|18,0.0299003322
18|40.18.11,12|18.40,0.0631229236
18|40.18.11,13|18.40,0.3636363636
18|40.18.11,28|18,0.0215946844
18|40.18.11,21|18.40,0.0182724252
18|40.18.11,20|18.40,0.0315614618
18|40.18.11,22|18,0.0664451827
18|40.18.11,100|,0.2109634551
18|40.18.11,1|18.40.18.11,0.4761904762
18|40.18.11,11|,0.4617940199
18|40.18.11,21|18,1
22|1,18|22,1
18|14.3,40|18.14.3,1
6|18.40.18.2,30|6.18.40.18.2,1
5|,25|5,0.1362229102
5|,14|,0.1037151703
5|,40|5,1
5|,0|,0.0753424658
5|,36|5,0.1284829721
5|,12|,0.2682926829
5|,18|5,0.1795665635
5|,100|,0.4365325077
0|18.40.18.14,18|0.18.40.18.14,1
4|18,17|4,1
22|8.14,18|22.8,1
13|15,18|13,1
13|15,100|,0.7590361446
30|2,100|,0.5217391304
30|2,18|30,0.4615384615
30|2,6|30,0.4782608696
18|40.18.9,14|18.40.18.9,1
18|40.18.9,11|,0.0828402367
18|40.18.9,21|18,0.2781065089
18|40.18.9,20|18,0.0591715976
18|40.18.9,100|,1
18|39.18.14,8|,1
18|39.18.14,8|18,1
18|40.18.22.18,8|,1
18|40.18.22.18,8|18,1
18|14.27,40|18.14.27,1
7|10,18|7,0.3725490196
7|10,100|,0.3725490196
7|10,14|7,0.2549019608
0|,14|,0.1290322581
0|,27|0,1
0|,1|0,1
0|,18|0,0.6129032258
0|,25|,0.1075268817
0|,25|0,1
0|,100|,0.1505376344
36|6,6|36,1
18|7,40|18.7,1
40|18.6,18|40.18.6,1
33|,40|33,1
33|,23|33,1
33|,23|,0.0572687225
33|,18|33,0.6696035242
33|,14|33,0.6333333333
33|,32|,0.0792951542
33|,36|33,1
33|,100|,0.4006622517
18|40.18.14.31,100|,1
40|18.30,18|40.18.30,1
21|20.29,100|,1
14|5.25,100|,1
18|9,14|18,0.1643835616
18|9,40|18.9,0.5890410959
18|9,100|,0.2465753425
18|31,40|18.31,1
18|31,40|,1
18|31,100|,0.2891566265
37|11,11|,1
40|18.14,18|40.18.14,1
